Date,Trial,Flow Rate (ml/min),Density (g/cm^3)
2/3/25,2,5,1.0066
2/3/25,3,5,0.9968
2/3/25,4,5,1.0068
2/3/25,5,5,0.9954
2/3/25,6,5,0.9962
2/3/25,7,5,0.9978
2/3/25,8,5,1.0052
2/3/25,9,5,0.9892
2/3/25,10,5,1.0074
2/3/25,11,5,1.0004
2/3/25,2,2.5,0.9918
2/3/25,3,2.5,0.9946
2/3/25,4,2.5,0.987
2/3/25,5,2.5,0.9916
2/3/25,6,2.5,0.9998
2/3/25,7,2.5,0.9926
2/3/25,8,2.5,1
2/3/25,9,2.5,1.005
2/3/25,10,2.5,1.0016
2/3/25,11,2.5,0.9884
2/3/25,2,2,0.9982
2/3/25,3,2,0.9964
2/3/25,4,2,0.9822
2/3/25,5,2,0.9942
2/3/25,6,2,0.9908
2/3/25,7,2,0.9978
2/3/25,8,2,0.98
2/3/25,9,2,0.9776
2/3/25,10,2,0.9784
2/3/25,11,2,0.9946
2/3/25,2,0.5,0.9664
2/3/25,3,0.5,0.969
2/3/25,4,0.5,0.9778
2/3/25,5,0.5,0.9728
2/3/25,6,0.5,0.9814
2/3/25,7,0.5,0.9672
2/3/25,8,0.5,0.974
2/3/25,9,0.5,1.0044
2/3/25,10,0.5,0.965
2/3/25,11,0.5,0.9904
